name,position,GP,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g
Tristan Thompson,C,38,0.7,1.6,.458,0.0,0.1,.000,0.1,0.6,.227,2.7,0.6,0.0,0.2,0.3,1.6
Keshad Johnson,SF,10,0.7,1.2,.583,0.1,0.4,.250,0.1,0.6,.167,1.7,0.3,0.1,0.4,0.3,1.6
Johnny Furphy,SG,43,0.6,1.5,.375,0.3,0.9,.324,0.2,0.2,1.000,1.2,0.2,0.3,0.2,0.2,1.6
Pacome Dadiet,SG,16,0.6,1.8,.321,0.4,1.1,.333,0.1,0.2,.667,0.9,0.3,0.2,0.1,0.2,1.6
Cam Christie,SG,8,0.6,1.9,.333,0.3,1.3,.200,0.1,0.3,.500,0.9,0.6,0.4,0.0,0.3,1.6
Alex Len,C,9,0.9,2.0,.444,0.1,0.2,.500,0.1,0.4,.250,3.2,0.8,0.1,0.2,0.7,2.0
Alex Len,C,36,0.6,1.1,.537,0.0,0.2,.167,0.2,0.4,.538,1.8,0.8,0.2,0.5,0.3,1.4
Alex Len,C,45,0.7,1.3,.508,0.0,0.2,.250,0.2,0.4,.471,2.1,0.8,0.2,0.4,0.4,1.6
PJ Hall,C,19,0.7,1.3,.583,0.1,0.4,.250,0.2,0.2,.750,1.2,0.2,0.0,0.2,0.1,1.7
Enrique Freeman,PF,20,0.6,1.3,.480,0.1,0.3,.167,0.5,0.8,.600,1.0,0.4,0.1,0.1,0.3,1.7
JD Davison,PG,12,0.5,1.2,.429,0.3,0.8,.333,0.4,0.6,.714,0.6,0.4,0.3,0.0,0.6,1.7
Leonard Miller,SF,10,0.5,1.4,.357,0.0,0.5,.000,0.8,0.8,1.000,1.1,0.0,0.2,0.1,0.2,1.8
Tyler Kolek,PG,37,0.6,1.8,.364,0.3,1.0,.333,0.2,0.3,.727,0.5,1.4,0.3,0.1,0.3,1.8
Jericho Sims,C,14,1.2,1.8,.680,0.0,0.0,,0.0,0.0,,4.9,0.8,0.1,0.6,0.9,2.4
Jericho Sims,C,39,0.7,1.2,.609,0.0,0.0,,0.2,0.3,.615,3.3,0.6,0.2,0.3,0.5,1.6
Jericho Sims,C,53,0.8,1.3,.634,0.0,0.0,,0.2,0.2,.615,3.7,0.6,0.2,0.4,0.6,1.8
Ariel Hukporti,C,25,0.8,1.2,.677,0.0,0.0,,0.2,0.5,.462,2.0,0.4,0.0,0.6,0.8,1.9
Jordan McLaughlin,PG,10,0.6,0.9,.667,0.3,0.5,.600,0.5,0.5,1.000,0.3,1.2,0.2,0.0,0.1,2.0
Jordan McLaughlin,PG,28,0.6,1.6,.364,0.4,0.9,.385,0.4,0.6,.688,0.8,0.9,0.4,0.0,0.4,1.9
Jordan McLaughlin,PG,38,0.6,1.4,.415,0.3,0.8,.419,0.4,0.6,.762,0.6,0.9,0.3,0.0,0.3,1.9
Pete Nance,PF,2,0.5,1.5,.333,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
Pete Nance,C,7,0.7,2.1,.333,0.6,1.7,.333,0.1,0.3,.500,1.4,0.4,0.1,0.0,0.0,2.1
Pete Nance,PF,9,0.7,2.0,.333,0.4,1.6,.286,0.1,0.2,.500,1.1,0.3,0.1,0.0,0.0,1.9
Adama Sanogo,C,4,1.0,1.8,.571,0.0,0.0,,0.0,0.0,,1.5,0.3,0.0,0.0,0.3,2.0
Rayan Rupert,SG,44,0.7,1.9,.390,0.2,0.8,.270,0.3,0.5,.750,1.0,0.4,0.2,0.0,0.5,2.0
Jack McVeigh,PF,7,0.7,1.9,.385,0.6,1.4,.400,0.0,0.0,,0.6,0.1,0.0,0.1,0.1,2.0
Kevin McCullar Jr.,SF,1,1.0,2.0,.500,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0
Kobe Brown,PF,35,0.9,1.8,.469,0.1,0.6,.182,0.1,0.2,.714,1.6,0.6,0.2,0.1,0.3,2.0
Jamaree Bouyea,PG,1,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,2.0
Jaden Springer,PG,10,0.9,1.9,.474,0.3,0.9,.333,0.6,1.0,.600,1.1,1.3,0.5,0.2,0.6,2.7
Jaden Springer,SG,26,0.5,1.3,.353,0.2,0.7,.316,0.6,0.8,.714,0.9,0.4,0.5,0.0,0.2,1.7
Jaden Springer,SG,36,0.6,1.5,.396,0.3,0.8,.321,0.6,0.9,.677,1.0,0.6,0.5,0.1,0.3,2.0
Drew Peterson,PF,20,0.7,1.5,.448,0.5,1.2,.391,0.3,0.4,.857,1.5,0.7,0.3,0.1,0.3,2.1
E.J. Liddell,PF,7,0.7,1.4,.500,0.4,1.1,.375,0.3,0.3,1.000,0.7,0.4,0.1,0.1,0.3,2.1
Chris Duarte,SG,17,0.7,1.5,.462,0.4,0.9,.400,0.4,0.5,.750,1.2,0.5,0.0,0.0,0.1,2.1
Patrick Baldwin Jr.,SF,22,0.8,1.5,.515,0.5,1.0,.524,0.1,0.2,.500,1.0,0.1,0.1,0.1,0.2,2.1
Reece Beekman,PG,29,0.8,2.7,.299,0.2,1.1,.188,0.4,0.6,.706,0.9,1.3,0.7,0.1,0.6,2.2
Reece Beekman,PG,2,0.5,0.5,1.000,0.0,0.0,,0.0,0.0,,0.5,0.5,0.5,0.0,0.0,1.0
Reece Beekman,PG,31,0.8,2.5,.308,0.2,1.0,.188,0.4,0.5,.706,0.8,1.3,0.6,0.1,0.5,2.1
Dwight Powell,C,49,0.8,1.1,.727,0.0,0.0,.500,0.6,0.8,.659,2.3,1.1,0.3,0.4,0.4,2.2
MarJon Beauchamp,SF,4,0.8,2.0,.375,0.3,1.0,.250,0.0,0.0,,1.0,0.0,0.3,0.0,0.3,1.8
MarJon Beauchamp,SF,3,1.3,2.3,.571,0.7,1.0,.667,0.7,1.3,.500,1.0,0.7,0.0,0.0,0.3,4.0
MarJon Beauchamp,SF,26,0.7,1.8,.383,0.3,0.8,.333,0.3,0.5,.750,1.2,0.3,0.1,0.0,0.5,2.0
MarJon Beauchamp,SF,33,0.8,1.9,.403,0.3,0.8,.357,0.3,0.5,.688,1.2,0.3,0.1,0.0,0.5,2.2
Mason Jones,SG,10,0.9,1.8,.500,0.1,0.8,.125,0.4,0.5,.800,0.9,1.1,0.0,0.1,0.1,2.3
Dillon Jones,SF,45,0.9,2.4,.355,0.3,1.3,.228,0.3,0.5,.583,2.0,1.0,0.2,0.1,0.4,2.3
Bronny James,SG,23,0.7,2.3,.327,0.3,1.2,.250,0.5,0.6,.786,0.6,0.6,0.2,0.1,0.4,2.3
Anthony Gill,PF,47,0.8,1.4,.537,0.2,0.5,.348,0.6,0.9,.659,1.0,0.3,0.2,0.0,0.2,2.3
TyTy Washington Jr.,PG,13,0.9,3.0,.308,0.3,1.5,.200,0.2,0.3,.750,0.9,1.2,0.2,0.0,0.2,2.4
Hunter Tyson,PF,47,0.8,2.1,.384,0.4,1.4,.308,0.4,0.5,.720,1.5,0.4,0.2,0.1,0.3,2.4
Pat Spencer,PG,34,1.0,2.7,.385,0.1,0.5,.118,0.3,0.4,.733,1.3,1.1,0.4,0.1,0.4,2.4
Tyler Smith,PF,20,0.9,2.0,.462,0.5,1.1,.409,0.1,0.2,.500,1.0,0.2,0.1,0.2,0.3,2.4
Josh Minott,SF,41,0.9,2.0,.457,0.2,0.9,.270,0.3,0.4,.867,1.0,0.4,0.4,0.3,0.3,2.4
Johnny Davis,SG,34,0.9,2.3,.410,0.2,0.9,.241,0.3,0.4,.600,1.1,0.3,0.4,0.2,0.2,2.4
Delon Wright,PG,8,0.9,1.6,.538,0.4,0.9,.429,0.3,0.5,.500,0.8,1.3,0.3,0.1,0.5,2.4
Delon Wright,PG,26,0.8,3.2,.268,0.5,1.9,.245,0.3,0.6,.563,1.8,1.8,0.9,0.3,0.5,2.5
Delon Wright,PG,34,0.9,2.8,.305,0.4,1.6,.268,0.3,0.6,.550,1.5,1.7,0.7,0.3,0.5,2.5
John Konchar,SG,41,0.9,2.1,.430,0.5,1.4,.356,0.2,0.2,.875,3.3,0.9,0.5,0.3,0.4,2.5
Christian Koloko,C,34,1.1,1.8,.613,0.0,0.1,.000,0.2,0.3,.800,2.4,0.5,0.2,0.3,0.4,2.5
Colby Jones,SG,8,2.5,4.8,.526,1.0,2.0,.500,1.3,2.0,.625,2.9,1.9,1.1,0.5,0.8,7.3
Colby Jones,SG,24,0.5,1.1,.423,0.2,0.4,.400,0.0,0.0,,1.0,0.3,0.3,0.3,0.3,1.1
Colby Jones,SG,32,1.0,2.0,.484,0.4,0.8,.462,0.3,0.5,.625,1.4,0.7,0.5,0.3,0.4,2.6
Trey Jemison,C,17,1.4,2.2,.605,0.0,0.0,,0.2,0.6,.400,2.8,0.2,0.1,0.5,0.5,2.9
Trey Jemison,C,16,0.9,2.0,.469,0.0,0.0,,0.5,1.3,.381,2.8,0.6,0.4,0.4,0.6,2.4
Trey Jemison,C,33,1.2,2.1,.543,0.0,0.0,,0.4,0.9,.387,2.8,0.4,0.2,0.4,0.5,2.7
Jeenathan Williams,SG,14,1.1,2.7,.421,0.3,1.2,.235,0.2,0.3,.750,0.5,0.4,0.4,0.3,0.6,2.8
Gary Harris,SG,40,1.0,2.7,.358,0.7,2.1,.318,0.2,0.3,.583,1.4,0.6,0.6,0.3,0.3,2.8
Lester QuiÃ±ones,SG,1,2.0,3.0,.667,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,5.0
Lester QuiÃ±ones,SG,4,1.0,2.0,.500,0.0,0.8,.000,0.3,0.3,1.000,1.0,0.3,0.0,0.0,1.0,2.3
Lester QuiÃ±ones,SG,5,1.2,2.2,.545,0.2,0.8,.250,0.2,0.2,1.000,0.8,0.2,0.2,0.0,1.0,2.8
Markelle Fultz,PG,16,1.3,3.0,.438,0.3,0.4,.571,0.1,0.1,1.000,0.8,1.0,0.4,0.1,0.8,2.9
Jae Crowder,PF,7,0.9,2.4,.353,0.4,1.7,.250,0.7,0.9,.833,2.4,0.6,0.4,0.0,0.6,2.9
Jaylon Tyson,SG,42,1.1,2.5,.443,0.3,1.0,.333,0.4,0.5,.800,1.9,0.9,0.2,0.0,0.5,3.0
Baylor Scheierman,SG,23,1.0,2.7,.365,0.7,2.1,.347,0.2,0.3,.833,1.7,1.0,0.4,0.1,0.2,3.0
Craig Porter Jr.,PG,46,1.2,2.2,.545,0.3,0.8,.457,0.3,0.4,.737,1.2,1.3,0.3,0.3,0.5,3.0
Taze Moore,SG,2,1.0,5.0,.200,0.5,2.0,.250,0.5,1.0,.500,4.0,0.5,1.0,0.0,1.0,3.0
Maxi Kleber,PF,34,1.1,2.8,.385,0.4,1.4,.265,0.5,0.6,.762,2.8,1.3,0.3,0.5,0.7,3.0
Kylor Kelley,C,8,1.3,1.6,.769,0.0,0.0,,0.5,0.8,.667,2.6,0.3,0.0,0.3,0.1,3.0
Taj Gibson,C,29,1.3,2.6,.500,0.0,0.1,.500,0.4,0.6,.688,3.4,0.6,0.3,0.4,0.7,3.0
Marcus Bagley,SF,2,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,3.0,0.5,0.5,0.0,0.0,3.0
Cole Swider,SF,2,2.5,6.0,.417,1.0,4.0,.250,0.0,0.5,.000,1.5,0.0,0.5,0.5,0.0,6.0
Cole Swider,SF,2,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,1.0,0.5,0.0,0.0,0.0,0.0
Cole Swider,SF,4,1.3,4.3,.294,0.5,3.3,.154,0.0,0.3,.000,1.3,0.3,0.3,0.3,0.0,3.0
Kevin Knox,SF,9,1.2,2.7,.458,0.3,1.2,.273,0.3,0.4,.750,1.3,0.4,0.1,0.4,0.1,3.1
Jackson Rowe,PF,5,1.2,3.0,.400,0.4,1.8,.222,0.4,0.8,.500,1.6,0.6,0.6,0.0,0.2,3.2
Cam Reddish,SF,33,1.2,2.8,.404,0.4,1.4,.277,0.5,0.8,.615,2.0,0.7,1.0,0.3,0.4,3.2
Cory Joseph,PG,43,1.1,2.8,.405,0.7,1.9,.349,0.2,0.3,.769,1.2,1.2,0.4,0.1,0.3,3.2
Elijah Harkless,SG,10,1.1,3.5,.314,0.7,2.5,.280,0.3,0.6,.500,2.1,0.8,1.0,0.1,0.3,3.2
Jamal Cain,SF,29,1.1,2.8,.388,0.5,1.6,.311,0.6,0.9,.654,1.9,0.6,0.4,0.3,0.4,3.2
Maxwell Lewis,SF,14,1.7,3.6,.471,0.9,1.6,.522,0.2,0.4,.500,1.9,0.6,0.4,0.2,0.4,4.5
Maxwell Lewis,SF,7,0.3,0.9,.333,0.0,0.0,,0.0,0.0,,0.3,0.3,0.1,0.0,0.3,0.6
Maxwell Lewis,SF,21,1.2,2.7,.456,0.6,1.1,.522,0.1,0.3,.500,1.4,0.5,0.3,0.1,0.3,3.2
Markieff Morris,PF,7,1.6,5.4,.289,0.9,2.9,.300,0.7,0.9,.833,1.6,1.6,0.0,0.1,0.1,4.7
Markieff Morris,PF,7,0.7,3.1,.227,0.3,1.9,.154,0.0,0.0,,1.1,0.6,0.1,0.1,0.3,1.7
Markieff Morris,PF,14,1.1,4.3,.267,0.6,2.4,.242,0.4,0.4,.833,1.4,1.1,0.1,0.1,0.2,3.2
Nae'Qwan Tomlin,PF,3,1.3,2.7,.500,0.0,0.7,.000,0.7,1.0,.667,2.0,0.0,0.0,0.0,0.3,3.3
Zeke Nnaji,PF,53,1.3,2.5,.507,0.3,0.9,.333,0.4,0.7,.605,1.6,0.4,0.4,0.7,0.2,3.3
Doug McDermott,SF,37,1.1,2.6,.432,1.0,2.2,.439,0.1,0.1,.600,0.5,0.1,0.1,0.1,0.2,3.3
Damion Lee,SG,19,1.1,3.1,.345,0.4,1.5,.241,0.8,0.9,.941,0.8,0.5,0.2,0.0,0.4,3.3
Branden Carlson,C,24,1.1,2.4,.474,0.8,1.9,.422,0.2,0.3,.714,1.5,0.4,0.2,0.5,0.2,3.3
Blake Wesley,SG,48,1.3,2.8,.459,0.3,0.9,.310,0.5,0.8,.650,0.8,1.9,0.6,0.1,0.9,3.4
Jalen Pickett,SG,42,1.3,3.2,.421,0.7,1.7,.397,0.1,0.1,.750,1.2,1.9,0.4,0.1,0.4,3.4
Caleb Houstan,SF,50,1.1,2.9,.381,0.9,2.5,.370,0.3,0.3,.929,1.0,0.4,0.3,0.1,0.1,3.4
Bruno Fernando,C,17,1.5,2.9,.531,0.0,0.0,,0.4,0.5,.750,3.0,1.1,0.2,0.5,0.8,3.4
Dario Å ariÄ,C,15,1.3,3.7,.339,0.5,1.7,.269,0.5,0.7,.700,3.3,1.5,0.5,0.1,0.9,3.5
Andre Jackson Jr.,SG,61,1.4,3.0,.470,0.5,1.2,.392,0.2,0.3,.550,2.8,1.3,0.5,0.2,0.9,3.5
Jae'Sean Tate,SF,47,1.3,2.9,.459,0.3,0.8,.316,0.7,1.0,.689,2.3,0.9,0.5,0.1,0.4,3.6
Isaac Jones,PF,34,1.4,2.1,.667,0.1,0.2,.333,0.7,1.1,.639,1.4,0.3,0.1,0.3,0.4,3.6
Jevon Carter,PG,31,1.3,3.2,.408,0.8,2.3,.357,0.3,0.3,.800,0.9,1.0,0.3,0.1,0.3,3.6
Tony Bradley,C,8,1.8,2.3,.778,0.1,0.4,.333,0.0,0.3,.000,1.9,0.4,0.1,0.4,0.5,3.6
JT Thor,PF,5,1.8,4.4,.409,0.2,1.8,.111,0.6,1.2,.500,3.0,0.8,0.6,0.6,0.0,4.4
JT Thor,PF,9,1.0,1.7,.600,0.3,0.7,.500,0.8,0.9,.875,0.7,0.1,0.2,0.3,0.7,3.1
JT Thor,PF,14,1.3,2.6,.486,0.3,1.1,.267,0.7,1.0,.714,1.5,0.4,0.4,0.4,0.4,3.6
DeAndre Jordan,C,50,1.7,2.5,.664,0.0,0.0,,0.4,0.9,.413,5.0,1.0,0.3,0.4,0.8,3.7
Luka Garza,C,35,1.4,2.9,.485,0.3,1.0,.278,0.6,0.9,.677,1.5,0.3,0.2,0.1,0.3,3.7
Pelle Larsson,SG,49,1.4,3.1,.438,0.5,1.6,.329,0.6,0.9,.674,1.3,0.9,0.4,0.1,0.3,3.8
Oso Ighodaro,PF,53,1.7,2.8,.599,0.0,0.0,.000,0.5,0.8,.581,3.5,1.1,0.4,0.4,0.6,3.8
Ousmane Dieng,C,37,1.5,3.4,.432,0.6,1.9,.324,0.3,0.4,.688,2.2,0.8,0.5,0.2,0.5,3.8
Steven Adams,C,53,1.5,2.8,.540,0.0,0.0,.000,0.7,1.7,.438,5.5,1.2,0.4,0.5,0.9,3.8
Patty Mills,PG,10,0.7,1.4,.500,0.7,1.4,.500,0.8,0.9,.889,0.0,0.4,0.1,0.0,0.1,2.9
Patty Mills,PG,17,1.5,4.5,.342,1.0,3.4,.298,0.3,0.3,1.000,1.2,1.2,0.7,0.2,0.9,4.4
Patty Mills,PG,27,1.2,3.3,.367,0.9,2.6,.338,0.5,0.5,.929,0.8,0.9,0.5,0.1,0.6,3.8
Jaylen Martin,SF,9,2.0,4.7,.429,0.4,1.2,.364,0.3,0.3,1.000,3.1,1.0,0.2,0.0,0.9,4.8
Jaylen Martin,SF,3,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
